Long Station Name,Collection Date,EC,Br,Sacramento X2,Location,Area,WYT,Data
Grant Line/Fabian/Bell Canals nr Old R.,10/23/1991,463,0.24,94.27657666,SouthDelta,Interior,C,TT
Contra Costa PP Number 01,10/23/1991,585,0.38,94.27657666,OMR,Interior,C,TT
Rock Slough @ Old River,10/23/1991,637,0.43,94.27657666,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),10/23/1991,665,0.47,94.27657666,OMR,Interior,C,TT
San Joaquin River @ Mossdale Bridge - C7A,10/23/1991,727,0.34,94.27657666,SJRcorridor,Interior,C,TT
Grant Ln Can @ Tracy Rd Bdg,10/23/1991,997,0.05,94.27657666,SouthDelta,Interior,C,TT
Old River nr Tracy,10/23/1991,1220,0.59,94.27657666,SouthDelta,Interior,C,TT
Contra Costa PP Number 01,11/19/1991,836,0.66,93.6335894,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,11/21/1991,547,0.31,93.42904814,OMR,Interior,C,TT
Clifton Court Intake,11/21/1991,688,0.48,93.42904814,OMR,Interior,C,TT
Contra Costa PP Number 01,12/9/1991,988,0.77,94.2937316,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,12/11/1991,609,0.34,94.35994762,OMR,Interior,C,TT
Clifton Court Intake,12/11/1991,810,0.5,94.35994762,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,12/19/1991,909,0.45,95.49778406,SouthDelta,Interior,C,TT
Old River North of Rock Slough (St 4b),12/19/1991,950,0.67,95.49778406,OMR,Interior,C,TT
Rock Slough @ Old River,12/19/1991,967,0.74,95.49778406,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,1/7/1992,519,0.25,93.01508883,OMR,Interior,C,TT
Little Connection Sl. @ Empire Tr.,1/23/1992,247,0.04,92.69366513,SJRcorridor,Interior,C,TT
Middle River at Bacon Island Bridge,1/23/1992,455,0.2,92.69366513,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,1/23/1992,546,0.27,92.69366513,SouthDelta,Interior,C,TT
Contra Costa PP Number 01,1/23/1992,732,0.46,92.69366513,OMR,Interior,C,TT
Rock Slough @ Old River,1/23/1992,792,0.5,92.69366513,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),1/23/1992,837,0.53,92.69366513,OMR,Interior,C,TT
San Joaquin River @ Mossdale Bridge - C7A,1/23/1992,1080,0.44,92.69366513,SJRcorridor,Interior,C,TT
Grant Ln Can @ Tracy Rd Bdg,1/23/1992,1100,0.43,92.69366513,SouthDelta,Interior,C,TT
Old River nr Tracy,1/23/1992,1150,0.48,92.69366513,SouthDelta,Interior,C,TT
Contra Costa PP Number 01,2/24/1992,793,0.45,66.71267132,OMR,Interior,C,TT
Clifton Court Intake,2/25/1992,554,0.21,65.86224313,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),3/11/1992,302,0.07,67.72093556,OMR,Interior,C,TT
Rock Slough @ Old River,3/11/1992,318,0.08,67.72093556,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,3/11/1992,360,0.09,67.72093556,SouthDelta,Interior,C,TT
Contra Costa PP Number 01,3/24/1992,421,0.1,67.98576989,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,3/26/1992,290,0.06,68.43776556,OMR,Interior,C,TT
Clifton Court Intake,3/26/1992,321,0.07,68.43776556,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,4/7/1992,297,0.06,81.84286737,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),4/8/1992,327,0.08,79.86326901,OMR,Interior,C,TT
Rock Slough @ Old River,4/8/1992,334,0.09,79.86326901,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,4/8/1992,340,0.08,79.86326901,SouthDelta,Interior,C,TT
Little Connection Sl. @ Empire Tr.,4/22/1992,231,0.04,77.19407905,SJRcorridor,Interior,C,TT
Old River North of Rock Slough (St 4b),4/22/1992,325,0.08,77.19407905,OMR,Interior,C,TT
Rock Slough @ Old River,4/22/1992,330,0.08,77.19407905,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,4/22/1992,335,0.07,77.19407905,OMR,Interior,C,TT
Contra Costa PP Number 01,4/22/1992,362,0.08,77.19407905,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,4/22/1992,409,0.11,77.19407905,SouthDelta,Interior,C,TT
San Joaquin River @ Mossdale Bridge - C7A,4/22/1992,834,0.31,77.19407905,SJRcorridor,Interior,C,TT
Grant Ln Can @ Tracy Rd Bdg,4/22/1992,932,0.32,77.19407905,SouthDelta,Interior,C,TT
Old River nr Tracy,4/22/1992,1110,0.4,77.19407905,SouthDelta,Interior,C,TT
Old River North of Rock Slough (St 4b),5/5/1992,331,0.09,86.61933596,OMR,Interior,C,TT
Rock Slough @ Old River,5/5/1992,337,0.1,86.61933596,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,5/5/1992,397,0.1,86.61933596,SouthDelta,Interior,C,TT
Middle River at Bacon Island Bridge,5/7/1992,456,0.13,90.34949329,OMR,Interior,C,TT
Contra Costa PP Number 01,5/19/1992,451,0.17,92.35936602,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,5/21/1992,458,0.16,91.77345049,OMR,Interior,C,TT
Clifton Court Intake,5/21/1992,463,0.16,91.77345049,OMR,Interior,C,TT
Clifton Court Intake,6/4/1992,569,0.25,92.61021102,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,6/9/1992,535,0.25,88.84783983,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,6/11/1992,686,0.37,90.14218042,SouthDelta,Interior,C,TT
Old River North of Rock Slough (St 4b),6/11/1992,934,0.59,90.14218042,OMR,Interior,C,TT
Rock Slough @ Old River,6/11/1992,947,0.62,90.14218042,OMR,Interior,C,TT
