Long Station Name,Collection Date,EC,Mg,Sacramento X2,Location,Area,WYT,Data
Rock Slough @ Old River,10/17/1990,847,20,93.81403956,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,10/17/1990,761,20,93.81403956,SouthDelta,Interior,C,TT
Clifton Court Intake,10/23/1990,710,18,94.64630634,OMR,Interior,C,TT
Rock Slough @ Old River,10/24/1990,960,22,94.04183083,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),10/24/1990,921,22,94.04183083,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,10/24/1990,585,16,94.04183083,OMR,Interior,C,TT
Little Connection Sl. @ Empire Tr.,10/24/1990,191,8,94.04183083,SJRcorridor,Interior,C,TT
San Joaquin River @ Mossdale Bridge - C7A,10/24/1990,739,19,94.04183083,SJRcorridor,Interior,C,TT
Old River nr Tracy,10/24/1990,1140,30,94.04183083,SouthDelta,Interior,C,TT
Grant Ln Can @ Tracy Rd Bdg,10/24/1990,1030,26,94.04183083,SouthDelta,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,10/24/1990,703,18,94.04183083,SouthDelta,Interior,C,TT
